Word,Count,POS,Definition
U+1F645 U+200D U+2640 U+FE0F,244,emoji number: 244,woman gesturing NO
U+1F646,245,emoji number: 245,person gesturing OK
U+1F646 U+200D U+2642 U+FE0F,246,emoji number: 246,man gesturing OK
U+1F646 U+200D U+2640 U+FE0F,247,emoji number: 247,woman gesturing OK
U+1F481,248,emoji number: 248,person tipping hand
U+1F481 U+200D U+2642 U+FE0F,249,emoji number: 249,man tipping hand
U+1F481 U+200D U+2640 U+FE0F,250,emoji number: 250,woman tipping hand
U+1F64B,251,emoji number: 251,person raising hand
U+1F64B U+200D U+2642 U+FE0F,252,emoji number: 252,man raising hand
U+1F64B U+200D U+2640 U+FE0F,253,emoji number: 253,woman raising hand
U+1F9CF,254,emoji number: 254,deaf person
U+1F9CF U+200D U+2642 U+FE0F,255,emoji number: 255,deaf man
U+1F9CF U+200D U+2640 U+FE0F,256,emoji number: 256,deaf woman
U+1F647,257,emoji number: 257,person bowing
U+1F647 U+200D U+2642 U+FE0F,258,emoji number: 258,man bowing
U+1F647 U+200D U+2640 U+FE0F,259,emoji number: 259,woman bowing
U+1F926,260,emoji number: 260,person facepalming
U+1F926 U+200D U+2642 U+FE0F,261,emoji number: 261,man facepalming
U+1F926 U+200D U+2640 U+FE0F,262,emoji number: 262,woman facepalming
U+1F937,263,emoji number: 263,person shrugging
U+1F937 U+200D U+2642 U+FE0F,264,emoji number: 264,man shrugging
U+1F937 U+200D U+2640 U+FE0F,265,emoji number: 265,woman shrugging
U+1F9D1 U+200D U+2695 U+FE0F,266,emoji number: 266,health worker
U+1F468 U+200D U+2695 U+FE0F,267,emoji number: 267,man health worker
U+1F469 U+200D U+2695 U+FE0F,268,emoji number: 268,woman health worker
U+1F9D1 U+200D U+1F393,269,emoji number: 269,student
U+1F468 U+200D U+1F393,270,emoji number: 270,man student
U+1F469 U+200D U+1F393,271,emoji number: 271,woman student
U+1F9D1 U+200D U+1F3EB,272,emoji number: 272,teacher
U+1F468 U+200D U+1F3EB,273,emoji number: 273,man teacher
U+1F469 U+200D U+1F3EB,274,emoji number: 274,woman teacher
U+1F9D1 U+200D U+2696 U+FE0F,275,emoji number: 275,judge
U+1F468 U+200D U+2696 U+FE0F,276,emoji number: 276,man judge
U+1F469 U+200D U+2696 U+FE0F,277,emoji number: 277,woman judge
U+1F9D1 U+200D U+1F33E,278,emoji number: 278,farmer
U+1F468 U+200D U+1F33E,279,emoji number: 279,man farmer
U+1F469 U+200D U+1F33E,280,emoji number: 280,woman farmer
U+1F9D1 U+200D U+1F373,281,emoji number: 281,cook
U+1F468 U+200D U+1F373,282,emoji number: 282,man cook
U+1F469 U+200D U+1F373,283,emoji number: 283,woman cook
U+1F9D1 U+200D U+1F527,284,emoji number: 284,mechanic
U+1F468 U+200D U+1F527,285,emoji number: 285,man mechanic
U+1F469 U+200D U+1F527,286,emoji number: 286,woman mechanic
U+1F9D1 U+200D U+1F3ED,287,emoji number: 287,factory worker
U+1F468 U+200D U+1F3ED,288,emoji number: 288,man factory worker
U+1F469 U+200D U+1F3ED,289,emoji number: 289,woman factory worker
U+1F9D1 U+200D U+1F4BC,290,emoji number: 290,office worker
U+1F468 U+200D U+1F4BC,291,emoji number: 291,man office worker
U+1F469 U+200D U+1F4BC,292,emoji number: 292,woman office worker
U+1F9D1 U+200D U+1F52C,293,emoji number: 293,scientist
U+1F468 U+200D U+1F52C,294,emoji number: 294,man scientist
U+1F469 U+200D U+1F52C,295,emoji number: 295,woman scientist
U+1F9D1 U+200D U+1F4BB,296,emoji number: 296,technologist
U+1F468 U+200D U+1F4BB,297,emoji number: 297,man technologist
U+1F469 U+200D U+1F4BB,298,emoji number: 298,woman technologist
U+1F9D1 U+200D U+1F3A4,299,emoji number: 299,singer
U+1F468 U+200D U+1F3A4,300,emoji number: 300,man singer
U+1F469 U+200D U+1F3A4,301,emoji number: 301,woman singer
U+1F9D1 U+200D U+1F3A8,302,emoji number: 302,artist
U+1F468 U+200D U+1F3A8,303,emoji number: 303,man artist
U+1F469 U+200D U+1F3A8,304,emoji number: 304,woman artist
U+1F9D1 U+200D U+2708 U+FE0F,305,emoji number: 305,pilot
U+1F468 U+200D U+2708 U+FE0F,306,emoji number: 306,man pilot
U+1F469 U+200D U+2708 U+FE0F,307,emoji number: 307,woman pilot
U+1F9D1 U+200D U+1F680,308,emoji number: 308,astronaut
U+1F468 U+200D U+1F680,309,emoji number: 309,man astronaut
U+1F469 U+200D U+1F680,310,emoji number: 310,woman astronaut
U+1F9D1 U+200D U+1F692,311,emoji number: 311,firefighter
U+1F468 U+200D U+1F692,312,emoji number: 312,man firefighter
U+1F469 U+200D U+1F692,313,emoji number: 313,woman firefighter
U+1F46E,314,emoji number: 314,police officer
U+1F46E U+200D U+2642 U+FE0F,315,emoji number: 315,man police officer
U+1F46E U+200D U+2640 U+FE0F,316,emoji number: 316,woman police officer
U+1F575,317,emoji number: 317,detective
U+1F575 U+FE0F U+200D U+2642 U+FE0F,318,emoji number: 318,man detective
U+1F575 U+FE0F U+200D U+2640 U+FE0F,319,emoji number: 319,woman detective
U+1F482,320,emoji number: 320,guard
U+1F482 U+200D U+2642 U+FE0F,321,emoji number: 321,man guard
U+1F482 U+200D U+2640 U+FE0F,322,emoji number: 322,woman guard
U+1F977,323,emoji number: 323,ninja
U+1F477,324,emoji number: 324,construction worker
U+1F477 U+200D U+2642 U+FE0F,325,emoji number: 325,man construction worker
U+1F477 U+200D U+2640 U+FE0F,326,emoji number: 326,woman construction worker
U+1F934,327,emoji number: 327,prince
U+1F478,328,emoji number: 328,princess
U+1F473,329,emoji number: 329,person wearing turban
U+1F473 U+200D U+2642 U+FE0F,330,emoji number: 330,man wearing turban
U+1F473 U+200D U+2640 U+FE0F,331,emoji number: 331,woman wearing turban
U+1F472,332,emoji number: 332,person with skullcap
U+1F9D5,333,emoji number: 333,woman with headscarf
U+1F935,334,emoji number: 334,person in tuxedo
U+1F935 U+200D U+2642 U+FE0F,335,emoji number: 335,man in tuxedo
U+1F935 U+200D U+2640 U+FE0F,336,emoji number: 336,woman in tuxedo
U+1F470,337,emoji number: 337,person with veil
U+1F470 U+200D U+2642 U+FE0F,338,emoji number: 338,man with veil
U+1F470 U+200D U+2640 U+FE0F,339,emoji number: 339,woman with veil
U+1F930,340,emoji number: 340,pregnant woman
U+1F931,341,emoji number: 341,breast-feeding
U+1F469 U+200D U+1F37C,342,emoji number: 342,woman feeding baby
U+1F468 U+200D U+1F37C,343,emoji number: 343,man feeding baby
U+1F9D1 U+200D U+1F37C,344,emoji number: 344,person feeding baby
U+1F47C,345,emoji number: 345,baby angel
U+1F385,346,emoji number: 346,Santa Claus
U+1F936,347,emoji number: 347,Mrs. Claus
U+1F9D1 U+200D U+1F384,348,emoji number: 348,mx claus
U+1F9B8,349,emoji number: 349,superhero
U+1F9B8 U+200D U+2642 U+FE0F,350,emoji number: 350,man superhero
U+1F9B8 U+200D U+2640 U+FE0F,351,emoji number: 351,woman superhero
U+1F9B9,352,emoji number: 352,supervillain
U+1F9B9 U+200D U+2642 U+FE0F,353,emoji number: 353,man supervillain
U+1F9B9 U+200D U+2640 U+FE0F,354,emoji number: 354,woman supervillain
U+1F9D9,355,emoji number: 355,mage
