U+1F9D1 U+200D U+1F91D U+200D U+1F9D1|emoji number: 463|people holding hands
U+1F46B|emoji number: 465|woman and man holding hands
U+1F48F|emoji number: 467|kiss
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468|emoji number: 469|"kiss: man, man"
U+1F491|emoji number: 471|couple with heart
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468|emoji number: 473|"couple with heart: man, man"
U+1F46A|emoji number: 475|family
U+1F468 U+200D U+1F469 U+200D U+1F467|emoji number: 477|"family: man, woman, girl"
U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466|emoji number: 479|"family: man, woman, boy, boy"
U+1F468 U+200D U+1F468 U+200D U+1F466|emoji number: 481|"family: man, man, boy"
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466|emoji number: 483|"family: man, man, girl, boy"
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467|emoji number: 485|"family: man, man, girl, girl"
U+1F469 U+200D U+1F469 U+200D U+1F467|emoji number: 487|"family: woman, woman, girl"
U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466|emoji number: 489|"family: woman, woman, boy, boy"
U+1F468 U+200D U+1F466|emoji number: 491|"family: man, boy"
U+1F468 U+200D U+1F467|emoji number: 493|"family: man, girl"
U+1F468 U+200D U+1F467 U+200D U+1F467|emoji number: 495|"family: man, girl, girl"
U+1F469 U+200D U+1F466 U+200D U+1F466|emoji number: 497|"family: woman, boy, boy"
U+1F469 U+200D U+1F467 U+200D U+1F466|emoji number: 499|"family: woman, girl, boy"
U+1F5E3|emoji number: 501|speaking head
U+1F465|emoji number: 503|busts in silhouette
U+1F463|emoji number: 505|footprints
U+1F9B1|emoji number: 507|curly hair
U+1F9B2|emoji number: 509|bald
U+1F412|emoji number: 511|monkey
U+1F9A7|emoji number: 513|orangutan
U+1F415|emoji number: 515|dog
U+1F415 U+200D U+1F9BA|emoji number: 517|service dog
U+1F43A|emoji number: 519|wolf
U+1F99D|emoji number: 521|raccoon
U+1F408|emoji number: 523|cat
U+1F981|emoji number: 525|lion
U+1F405|emoji number: 527|tiger
U+1F434|emoji number: 529|horse face
U+1F984|emoji number: 531|unicorn
U+1F98C|emoji number: 533|deer
U+1F42E|emoji number: 535|cow face
U+1F403|emoji number: 537|water buffalo
U+1F437|emoji number: 539|pig face
U+1F417|emoji number: 541|boar
U+1F40F|emoji number: 543|ram
U+1F410|emoji number: 545|goat
U+1F42B|emoji number: 547|two-hump camel
U+1F992|emoji number: 549|giraffe
U+1F9A3|emoji number: 551|mammoth
U+1F99B|emoji number: 553|hippopotamus
U+1F401|emoji number: 555|mouse
U+1F439|emoji number: 557|hamster
U+1F407|emoji number: 559|rabbit
U+1F9AB|emoji number: 561|beaver
U+1F987|emoji number: 563|bat
U+1F43B U+200D U+2744 U+FE0F|emoji number: 565|polar bear
U+1F43C|emoji number: 567|panda
U+1F9A6|emoji number: 569|otter
U+1F998|emoji number: 571|kangaroo
U+1F43E|emoji number: 573|paw prints
U+1F414|emoji number: 575|chicken
U+1F423|emoji number: 577|hatching chick
U+1F425|emoji number: 579|front-facing baby chick
U+1F427|emoji number: 581|penguin
U+1F985|emoji number: 583|eagle
U+1F9A2|emoji number: 585|swan
U+1F9A4|emoji number: 587|dodo
U+1F9A9|emoji number: 589|flamingo
U+1F99C|emoji number: 591|parrot
U+1F40A|emoji number: 593|crocodile
U+1F98E|emoji number: 595|lizard
U+1F432|emoji number: 597|dragon face
U+1F995|emoji number: 599|sauropod
U+1F433|emoji number: 601|spouting whale
U+1F42C|emoji number: 603|dolphin
U+1F41F|emoji number: 605|fish
U+1F421|emoji number: 607|blowfish
U+1F419|emoji number: 609|octopus
U+1F40C|emoji number: 611|snail
U+1F41B|emoji number: 613|bug
U+1F41D|emoji number: 615|honeybee
U+1F41E|emoji number: 617|lady beetle
U+1FAB3|emoji number: 619|cockroach
U+1F578|emoji number: 621|spider web
U+1F99F|emoji number: 623|mosquito
U+1FAB1|emoji number: 625|worm
U+1F490|emoji number: 627|bouquet
U+1F4AE|emoji number: 629|white flower
U+1F339|emoji number: 631|rose
U+1F33A|emoji number: 633|hibiscus
U+1F33C|emoji number: 635|blossom
U+1F331|emoji number: 637|seedling
U+1F332|emoji number: 639|evergreen tree
U+1F334|emoji number: 641|palm tree
U+1F33E|emoji number: 643|sheaf of rice
U+2618|emoji number: 645|shamrock
U+1F341|emoji number: 647|maple leaf
U+1F343|emoji number: 649|leaf fluttering in wind
U+1F348|emoji number: 651|melon
U+1F34A|emoji number: 653|tangerine
U+1F34C|emoji number: 655|banana
U+1F96D|emoji number: 657|mango
U+1F34F|emoji number: 659|green apple
U+1F351|emoji number: 661|peach
U+1F353|emoji number: 663|strawberry
U+1F95D|emoji number: 665|kiwi fruit
U+1FAD2|emoji number: 667|olive
U+1F951|emoji number: 669|avocado
U+1F954|emoji number: 671|potato
U+1F33D|emoji number: 673|ear of corn
U+1FAD1|emoji number: 675|bell pepper
U+1F96C|emoji number: 677|leafy green
U+1F9C4|emoji number: 679|garlic
U+1F344|emoji number: 681|mushroom
U+1F330|emoji number: 683|chestnut
U+1F950|emoji number: 685|croissant
U+1FAD3|emoji number: 687|flatbread
U+1F96F|emoji number: 689|bagel
U+1F9C7|emoji number: 691|waffle
U+1F356|emoji number: 693|meat on bone
U+1F969|emoji number: 695|cut of meat
U+1F354|emoji number: 697|hamburger
U+1F355|emoji number: 699|pizza
U+1F96A|emoji number: 701|sandwich
U+1F32F|emoji number: 703|burrito
U+1F959|emoji number: 705|stuffed flatbread
U+1F95A|emoji number: 707|egg
U+1F958|emoji number: 709|shallow pan of food
U+1FAD5|emoji number: 711|fondue
U+1F957|emoji number: 713|green salad
U+1F9C8|emoji number: 715|butter
U+1F96B|emoji number: 717|canned food
U+1F358|emoji number: 719|rice cracker
U+1F35A|emoji number: 721|cooked rice
U+1F35C|emoji number: 723|steaming bowl
U+1F360|emoji number: 725|roasted sweet potato
U+1F363|emoji number: 727|sushi
U+1F365|emoji number: 729|fish cake with swirl
U+1F361|emoji number: 731|dango
U+1F960|emoji number: 733|fortune cookie
U+1F980|emoji number: 735|crab
U+1F990|emoji number: 737|shrimp
U+1F9AA|emoji number: 739|oyster
U+1F367|emoji number: 741|shaved ice
U+1F369|emoji number: 743|doughnut
U+1F382|emoji number: 745|birthday cake
U+1F9C1|emoji number: 747|cupcake
U+1F36B|emoji number: 749|chocolate bar
U+1F36D|emoji number: 751|lollipop
U+1F36F|emoji number: 753|honey pot
U+1F95B|emoji number: 755|glass of milk
U+1FAD6|emoji number: 757|teapot
U+1F376|emoji number: 759|sake
U+1F377|emoji number: 761|wine glass
U+1F379|emoji number: 763|tropical drink
U+1F37B|emoji number: 765|clinking beer mugs
U+1F943|emoji number: 767|tumbler glass
U+1F9CB|emoji number: 769|bubble tea
U+1F9C9|emoji number: 771|mate
U+1F962|emoji number: 773|chopsticks
U+1F374|emoji number: 775|fork and knife
U+1F52A|emoji number: 777|kitchen knife
U+1F30D|emoji number: 779|globe showing Europe-Africa
U+1F30F|emoji number: 781|globe showing Asia-Australia
U+1F5FA|emoji number: 783|world map
U+1F9ED|emoji number: 785|compass
U+26F0|emoji number: 787|mountain
U+1F5FB|emoji number: 789|mount fuji
U+1F3D6|emoji number: 791|beach with umbrella
U+1F3DD|emoji number: 793|desert island
U+1F3DF|emoji number: 795|stadium
U+1F3D7|emoji number: 797|building construction
U+1FAA8|emoji number: 799|rock
U+1F6D6|emoji number: 801|hut
U+1F3DA|emoji number: 803|derelict house
U+1F3E1|emoji number: 805|house with garden
U+1F3E3|emoji number: 807|Japanese post office
U+1F3E5|emoji number: 809|hospital
U+1F3E8|emoji number: 811|hotel
U+1F3EA|emoji number: 813|convenience store
U+1F3EC|emoji number: 815|department store
U+1F3EF|emoji number: 817|Japanese castle
U+1F492|emoji number: 819|wedding
U+1F5FD|emoji number: 821|Statue of Liberty
U+1F54C|emoji number: 823|mosque
U+1F54D|emoji number: 825|synagogue
U+1F54B|emoji number: 827|kaaba
U+26FA|emoji number: 829|tent
U+1F303|emoji number: 831|night with stars
U+1F304|emoji number: 833|sunrise over mountains
U+1F306|emoji number: 835|cityscape at dusk
U+1F309|emoji number: 837|bridge at night
U+1F3A0|emoji number: 839|carousel horse
U+1F3A2|emoji number: 841|roller coaster
U+1F3AA|emoji number: 843|circus tent
U+1F683|emoji number: 845|railway car
U+1F685|emoji number: 847|bullet train
U+1F687|emoji number: 849|metro
U+1F689|emoji number: 851|station
U+1F69D|emoji number: 853|monorail
U+1F68B|emoji number: 855|tram car
U+1F68D|emoji number: 857|oncoming bus
U+1F690|emoji number: 859|minibus
U+1F692|emoji number: 861|fire engine
U+1F694|emoji number: 863|oncoming police car
U+1F696|emoji number: 865|oncoming taxi
U+1F698|emoji number: 867|oncoming automobile
U+1F6FB|emoji number: 869|pickup truck
U+1F69B|emoji number: 871|articulated lorry
U+1F3CE|emoji number: 873|racing car
U+1F6F5|emoji number: 875|motor scooter
U+1F9BC|emoji number: 877|motorized wheelchair
U+1F6B2|emoji number: 879|bicycle
U+1F6F9|emoji number: 881|skateboard
U+1F68F|emoji number: 883|bus stop
U+1F6E4|emoji number: 885|railway track
U+26FD|emoji number: 887|fuel pump
U+1F6A5|emoji number: 889|horizontal traffic light
U+1F6D1|emoji number: 891|stop sign
U+2693|emoji number: 893|anchor
U+1F6F6|emoji number: 895|canoe
U+1F6F3|emoji number: 897|passenger ship
U+1F6E5|emoji number: 899|motor boat
U+2708|emoji number: 901|airplane
U+1F6EB|emoji number: 903|airplane departure
U+1FA82|emoji number: 905|parachute
U+1F681|emoji number: 907|helicopter
U+1F6A0|emoji number: 909|mountain cableway
U+1F6F0|emoji number: 911|satellite
U+1F6F8|emoji number: 913|flying saucer
U+1F9F3|emoji number: 915|luggage
U+23F3|emoji number: 917|hourglass not done
U+23F0|emoji number: 919|alarm clock
U+23F2|emoji number: 921|timer clock
U+1F55B|emoji number: 923|twelve o’clock
U+1F550|emoji number: 925|one o’clock
U+1F551|emoji number: 927|two o’clock
U+1F552|emoji number: 929|three o’clock
U+1F553|emoji number: 931|four o’clock
U+1F554|emoji number: 933|five o’clock
U+1F555|emoji number: 935|six o’clock
U+1F556|emoji number: 937|seven o’clock
U+1F557|emoji number: 939|eight o’clock
U+1F558|emoji number: 941|nine o’clock
U+1F559|emoji number: 943|ten o’clock
U+1F55A|emoji number: 945|eleven o’clock
U+1F311|emoji number: 947|new moon
U+1F313|emoji number: 949|first quarter moon
U+1F315|emoji number: 951|full moon
U+1F317|emoji number: 953|last quarter moon
U+1F319|emoji number: 955|crescent moon
U+1F31B|emoji number: 957|first quarter moon face
U+1F321|emoji number: 959|thermometer
U+1F31D|emoji number: 961|full moon face
U+1FA90|emoji number: 963|ringed planet
U+1F31F|emoji number: 965|glowing star
U+1F30C|emoji number: 967|milky way
U+26C5|emoji number: 969|sun behind cloud
U+1F324|emoji number: 971|sun behind small cloud
U+1F326|emoji number: 973|sun behind rain cloud
U+1F328|emoji number: 975|cloud with snow
U+1F32A|emoji number: 977|tornado
U+1F32C|emoji number: 979|wind face
U+1F308|emoji number: 981|rainbow
U+2602|emoji number: 983|umbrella
U+26F1|emoji number: 985|umbrella on ground
U+2744|emoji number: 987|snowflake
U+26C4|emoji number: 989|snowman without snow
U+1F525|emoji number: 991|fire
U+1F30A|emoji number: 993|water wave
U+1F384|emoji number: 995|Christmas tree
U+1F387|emoji number: 997|sparkler
U+2728|emoji number: 999|sparkles
U+1F389|emoji number: 1001|party popper
U+1F38B|emoji number: 1003|tanabata tree
U+1F38E|emoji number: 1005|Japanese dolls
U+1F390|emoji number: 1007|wind chime
U+1F9E7|emoji number: 1009|red envelope
U+1F381|emoji number: 1011|wrapped gift
U+1F39F|emoji number: 1013|admission tickets
U+1F396|emoji number: 1015|military medal
U+1F3C5|emoji number: 1017|sports medal
U+1F948|emoji number: 1019|2nd place medal
U+26BD|emoji number: 1021|soccer ball
U+1F94E|emoji number: 1023|softball
U+1F3D0|emoji number: 1025|volleyball
U+1F3C9|emoji number: 1027|rugby football
U+1F94F|emoji number: 1029|flying disc
U+1F3CF|emoji number: 1031|cricket game
U+1F3D2|emoji number: 1033|ice hockey
U+1F3D3|emoji number: 1035|ping pong
U+1F94A|emoji number: 1037|boxing glove
U+1F945|emoji number: 1039|goal net
U+26F8|emoji number: 1041|ice skate
U+1F93F|emoji number: 1043|diving mask
U+1F3BF|emoji number: 1045|skis
U+1F94C|emoji number: 1047|curling stone
U+1FA80|emoji number: 1049|yo-yo
U+1F3B1|emoji number: 1051|pool 8 ball
U+1FA84|emoji number: 1053|magic wand
U+1F3AE|emoji number: 1055|video game
U+1F3B0|emoji number: 1057|slot machine
U+1F9E9|emoji number: 1059|puzzle piece
U+1FA85|emoji number: 1061|piñata
U+2660|emoji number: 1063|spade suit
U+2666|emoji number: 1065|diamond suit
U+265F|emoji number: 1067|chess pawn
U+1F004|emoji number: 1069|mahjong red dragon
U+1F3AD|emoji number: 1071|performing arts
U+1F3A8|emoji number: 1073|artist palette
U+1FAA1|emoji number: 1075|sewing needle
U+1FAA2|emoji number: 1077|knot
U+1F576|emoji number: 1079|sunglasses
U+1F97C|emoji number: 1081|lab coat
U+1F454|emoji number: 1083|necktie
U+1F456|emoji number: 1085|jeans
U+1F9E4|emoji number: 1087|gloves
U+1F9E6|emoji number: 1089|socks
U+1F458|emoji number: 1091|kimono
U+1FA71|emoji number: 1093|one-piece swimsuit
U+1FA73|emoji number: 1095|shorts
U+1F45A|emoji number: 1097|woman’s clothes
U+1F45C|emoji number: 1099|handbag
U+1F6CD|emoji number: 1101|shopping bags
U+1FA74|emoji number: 1103|thong sandal
U+1F45F|emoji number: 1105|running shoe
U+1F97F|emoji number: 1107|flat shoe
U+1F461|emoji number: 1109|woman’s sandal
U+1F462|emoji number: 1111|woman’s boot
U+1F452|emoji number: 1113|woman’s hat
U+1F393|emoji number: 1115|graduation cap
U+1FA96|emoji number: 1117|military helmet
U+1F4FF|emoji number: 1119|prayer beads
U+1F48D|emoji number: 1121|ring
U+1F507|emoji number: 1123|muted speaker
U+1F509|emoji number: 1125|speaker medium volume
U+1F4E2|emoji number: 1127|loudspeaker
U+1F4EF|emoji number: 1129|postal horn
U+1F515|emoji number: 1131|bell with slash
U+1F3B5|emoji number: 1133|musical note
U+1F399|emoji number: 1135|studio microphone
U+1F39B|emoji number: 1137|control knobs
U+1F3A7|emoji number: 1139|headphone
U+1F3B7|emoji number: 1141|saxophone
U+1F3B8|emoji number: 1143|guitar
U+1F3BA|emoji number: 1145|trumpet
U+1FA95|emoji number: 1147|banjo
U+1FA98|emoji number: 1149|long drum
U+1F4F2|emoji number: 1151|mobile phone with arrow
U+1F4DE|emoji number: 1153|telephone receiver
U+1F4E0|emoji number: 1155|fax machine
U+1F50C|emoji number: 1157|electric plug
U+1F5A5|emoji number: 1159|desktop computer
U+2328|emoji number: 1161|keyboard
U+1F5B2|emoji number: 1163|trackball
U+1F4BE|emoji number: 1165|floppy disk
U+1F4C0|emoji number: 1167|dvd
U+1F3A5|emoji number: 1169|movie camera
U+1F4FD|emoji number: 1171|film projector
U+1F4FA|emoji number: 1173|television
U+1F4F8|emoji number: 1175|camera with flash
U+1F4FC|emoji number: 1177|videocassette
U+1F50E|emoji number: 1179|magnifying glass tilted right
U+1F4A1|emoji number: 1181|light bulb
U+1F3EE|emoji number: 1183|red paper lantern
U+1F4D4|emoji number: 1185|notebook with decorative cover
U+1F4D6|emoji number: 1187|open book
U+1F4D8|emoji number: 1189|blue book
U+1F4DA|emoji number: 1191|books
