%-)|emoji.|user has been staring at a green screen for 15 hours straight
:six_pointed_star:|emoji.|six pointed star with middle dot
:ski:|emoji.|ski and ski boot
:skier:|emoji.|skier
:skull:|emoji.|skull
:skull_and_crossbones:|emoji.|skull and crossbones, variation selector-16
:sleeping:|emoji.|sleeping face
:sleeping_bed:|emoji.|sleeping accommodation
:sleepy:|emoji.|sleepy face
:slightly_frowning_face:|emoji.|slightly frowning face
:slightly_smiling_face:|emoji.|slightly smiling face
:slot_machine:|emoji.|slot machine
:slovakia:|emoji.|regional indicator symbol letter s, regional indicator symbol letter k
:slovenia:|emoji.|regional indicator symbol letter s, regional indicator symbol letter i
:small_airplane:|emoji.|small airplane
:small_blue_diamond:|emoji.|small blue diamond
:small_orange_diamond:|emoji.|small orange diamond
:small_red_triangle:|emoji.|up-pointing red triangle
:small_red_triangle_down:|emoji.|down-pointing red triangle
:smile:|emoji.|smiling face with open mouth and smiling eyes
:smile_cat:|emoji.|grinning cat face with smiling eyes
:smiley:|emoji.|smiling face with open mouth
:smiley_cat:|emoji.|smiling cat face with open mouth
:smiling_imp:|emoji.|smiling face with horns
:smirk:|emoji.|smirking face
:smirk_cat:|emoji.|cat face with wry smile
:smoking:|emoji.|smoking symbol
:snail:|emoji.|snail
:snake:|emoji.|snake
:sneezing_face:|emoji.|sneezing face
:snowboarder:|emoji.|snowboarder
:snowflake:|emoji.|snowflake, variation selector-16
:snowman:|emoji.|snowman without snow, variation selector-16
:snowman_with_snow:|emoji.|snowman, variation selector-16
:sob:|emoji.|loudly crying face
:soccer:|emoji.|soccer ball, variation selector-16
:solomon_islands:|emoji.|regional indicator symbol letter s, regional indicator symbol letter b
:somalia:|emoji.|regional indicator symbol letter s, regional indicator symbol letter o
:soon:|emoji.|soon with rightwards arrow above
:sos:|emoji.|squared sos
:sound:|emoji.|speaker with one sound wave
:south_africa:|emoji.|regional indicator symbol letter z, regional indicator symbol letter a
:south_georgia_south_sandwich_islands:|emoji.|regional indicator symbol letter g, regional indicator symbol letter s
:south_sudan:|emoji.|regional indicator symbol letter s, regional indicator symbol letter s
:space_invader:|emoji.|alien monster
:spades:|emoji.|black spade suit, variation selector-16
:spaghetti:|emoji.|spaghetti
:sparkle:|emoji.|sparkle, variation selector-16
:sparkler:|emoji.|firework sparkler
:sparkles:|emoji.|sparkles
:sparkling_heart:|emoji.|sparkling heart
:speak_no_evil:|emoji.|speak-no-evil monkey
:speaker:|emoji.|speaker
:speaking_head:|emoji.|speaking head in silhouette
:speech_balloon:|emoji.|speech balloon
:speedboat:|emoji.|speedboat
:spider:|emoji.|spider
:spider_web:|emoji.|spider web
:spiral_calendar:|emoji.|spiral calendar pad
:spiral_notepad:|emoji.|spiral note pad
:spoon:|emoji.|spoon
:squid:|emoji.|squid
:sri_lanka:|emoji.|regional indicator symbol letter l, regional indicator symbol letter k
:st_barthelemy:|emoji.|regional indicator symbol letter b, regional indicator symbol letter l
:st_helena:|emoji.|regional indicator symbol letter s, regional indicator symbol letter h
:st_kitts_nevis:|emoji.|regional indicator symbol letter k, regional indicator symbol letter n
:st_lucia:|emoji.|regional indicator symbol letter l, regional indicator symbol letter c
:st_pierre_miquelon:|emoji.|regional indicator symbol letter p, regional indicator symbol letter m
:st_vincent_grenadines:|emoji.|regional indicator symbol letter v, regional indicator symbol letter c
:stadium:|emoji.|stadium
:star2:|emoji.|glowing star
:star:|emoji.|white medium star, variation selector-16
:star_and_crescent:|emoji.|star and crescent, variation selector-16
:star_of_david:|emoji.|star of david, variation selector-16
:stars:|emoji.|shooting star
:station:|emoji.|station
:statue_of_liberty:|emoji.|statue of liberty
:steam_locomotive:|emoji.|steam locomotive
:stew:|emoji.|pot of food
:stop_button:|emoji.|black square for stop
:stop_sign:|emoji.|octagonal sign
:stopwatch:|emoji.|stopwatch
:straight_ruler:|emoji.|straight ruler
:strawberry:|emoji.|strawberry
:stuck_out_tongue:|emoji.|face with stuck-out tongue
:stuck_out_tongue_closed_eyes:|emoji.|face with stuck-out tongue and tightly-closed eyes
:stuck_out_tongue_winking_eye:|emoji.|face with stuck-out tongue and winking eye
:studio_microphone:|emoji.|studio microphone
:stuffed_flatbread:|emoji.|stuffed flatbread
:sudan:|emoji.|regional indicator symbol letter s, regional indicator symbol letter d
:sun_behind_large_cloud:|emoji.|white sun behind cloud
:sun_behind_rain_cloud:|emoji.|white sun behind cloud with rain
:sun_behind_small_cloud:|emoji.|white sun with small cloud
:sun_with_face:|emoji.|sun with face
:sunflower:|emoji.|sunflower
:sunglasses:|emoji.|smiling face with sunglasses
:sunny:|emoji.|black sun with rays, variation selector-16
:sunrise:|emoji.|sunrise
:sunrise_over_mountains:|emoji.|sunrise over mountains
:surfing_man:|emoji.|surfer
:surfing_woman:|emoji.|surfer, zero width joiner, female sign, variation selector-16
:suriname:|emoji.|regional indicator symbol letter s, regional indicator symbol letter r
:sushi:|emoji.|sushi
:suspension_railway:|emoji.|suspension railway
:swaziland:|emoji.|regional indicator symbol letter s, regional indicator symbol letter z
:sweat:|emoji.|face with cold sweat
:sweat_drops:|emoji.|splashing sweat symbol
:sweat_smile:|emoji.|smiling face with open mouth and cold sweat
:sweden:|emoji.|regional indicator symbol letter s, regional indicator symbol letter e
:sweet_potato:|emoji.|roasted sweet potato
:swimming_man:|emoji.|swimmer
:swimming_woman:|emoji.|swimmer, zero width joiner, female sign, variation selector-16
:switzerland:|emoji.|regional indicator symbol letter c, regional indicator symbol letter h
:symbols:|emoji.|input symbol for symbols
:synagogue:|emoji.|synagogue
:syria:|emoji.|regional indicator symbol letter s, regional indicator symbol letter y
:syringe:|emoji.|syringe
:taco:|emoji.|taco
:tada:|emoji.|party popper
:taiwan:|emoji.|regional indicator symbol letter t, regional indicator symbol letter w
:tajikistan:|emoji.|regional indicator symbol letter t, regional indicator symbol letter j
:tanabata_tree:|emoji.|tanabata tree
:tangerine:|emoji.|tangerine
:tanzania:|emoji.|regional indicator symbol letter t, regional indicator symbol letter z
:taurus:|emoji.|taurus, variation selector-16
:taxi:|emoji.|taxi
:tea:|emoji.|teacup without handle
:telephone_receiver:|emoji.|telephone receiver
:telescope:|emoji.|telescope
:tennis:|emoji.|tennis racquet and ball
:tent:|emoji.|tent, variation selector-16
:thailand:|emoji.|regional indicator symbol letter t, regional indicator symbol letter h
:thermometer:|emoji.|thermometer
:thinking:|emoji.|thinking face
:thought_balloon:|emoji.|thought balloon
:three:|emoji.|3, variation selector-16, combining enclosing keycap
:ticket:|emoji.|ticket
:tickets:|emoji.|admission tickets
:tiger2:|emoji.|tiger
:tiger:|emoji.|tiger face
:timer_clock:|emoji.|timer clock
:timor_leste:|emoji.|regional indicator symbol letter t, regional indicator symbol letter l
:tipping_hand_man:|emoji.|information desk person, zero width joiner, male sign, variation selector-16
:tipping_hand_woman:|emoji.|information desk person
:tired_face:|emoji.|tired face
:tm:|emoji.|trade mark sign, variation selector-16
:togo:|emoji.|regional indicator symbol letter t, regional indicator symbol letter g
:toilet:|emoji.|toilet
:tokelau:|emoji.|regional indicator symbol letter t, regional indicator symbol letter k
:tokyo_tower:|emoji.|tokyo tower
:tomato:|emoji.|tomato
:tonga:|emoji.|regional indicator symbol letter t, regional indicator symbol letter o
:tongue:|emoji.|tongue
:top:|emoji.|top with upwards arrow above
:tophat:|emoji.|top hat
:tornado:|emoji.|cloud with tornado
:tr:|emoji.|regional indicator symbol letter t, regional indicator symbol letter r
:trackball:|emoji.|trackball
:tractor:|emoji.|tractor
:traffic_light:|emoji.|horizontal traffic light
:train2:|emoji.|train
:train:|emoji.|tram car
:tram:|emoji.|tram
:triangular_flag_on_post:|emoji.|triangular flag on post
:triangular_ruler:|emoji.|triangular ruler
:trident:|emoji.|trident emblem
:trinidad_tobago:|emoji.|regional indicator symbol letter t, regional indicator symbol letter t
:triumph:|emoji.|face with look of triumph
:trolleybus:|emoji.|trolleybus
:trophy:|emoji.|trophy
:tropical_drink:|emoji.|tropical drink
:tropical_fish:|emoji.|tropical fish
:truck:|emoji.|delivery truck
:trumpet:|emoji.|trumpet
:tulip:|emoji.|tulip
:tumbler_glass:|emoji.|tumbler glass
:tunisia:|emoji.|regional indicator symbol letter t, regional indicator symbol letter n
:turkey:|emoji.|turkey
:turkmenistan:|emoji.|regional indicator symbol letter t, regional indicator symbol letter m
:turks_caicos_islands:|emoji.|regional indicator symbol letter t, regional indicator symbol letter c
:turtle:|emoji.|turtle
:tuvalu:|emoji.|regional indicator symbol letter t, regional indicator symbol letter v
:tv:|emoji.|television
:twisted_rightwards_arrows:|emoji.|twisted rightwards arrows
:two:|emoji.|2, variation selector-16, combining enclosing keycap
:two_hearts:|emoji.|two hearts
:two_men_holding_hands:|emoji.|two men holding hands
:two_women_holding_hands:|emoji.|two women holding hands
:u5272:|emoji.|squared cjk unified ideograph-5272
:u5408:|emoji.|squared cjk unified ideograph-5408
:u55b6:|emoji.|squared cjk unified ideograph-55b6
:u6307:|emoji.|squared cjk unified ideograph-6307, variation selector-16
:u6708:|emoji.|squared cjk unified ideograph-6708, variation selector-16
:u6709:|emoji.|squared cjk unified ideograph-6709
:u6e80:|emoji.|squared cjk unified ideograph-6e80
:u7121:|emoji.|squared cjk unified ideograph-7121, variation selector-16
:u7533:|emoji.|squared cjk unified ideograph-7533
:u7981:|emoji.|squared cjk unified ideograph-7981
:u7a7a:|emoji.|squared cjk unified ideograph-7a7a
:uganda:|emoji.|regional indicator symbol letter u, regional indicator symbol letter g
:ukraine:|emoji.|regional indicator symbol letter u, regional indicator symbol letter a
:umbrella:|emoji.|umbrella with rain drops, variation selector-16
:unamused:|emoji.|unamused face
:underage:|emoji.|no one under eighteen symbol
:unicorn:|emoji.|unicorn face
:united_arab_emirates:|emoji.|regional indicator symbol letter a, regional indicator symbol letter e
:unlock:|emoji.|open lock
:up:|emoji.|squared up with exclamation mark
:upside_down_face:|emoji.|upside-down face
:uruguay:|emoji.|regional indicator symbol letter u, regional indicator symbol letter y
:us:|emoji.|regional indicator symbol letter u, regional indicator symbol letter s
:us_virgin_islands:|emoji.|regional indicator symbol letter v, regional indicator symbol letter i
:uzbekistan:|emoji.|regional indicator symbol letter u, regional indicator symbol letter z
:v)|emoji.|user has a broken nose, but it's the other way
:v:|emoji.|victory hand, variation selector-16
:vanuatu:|emoji.|regional indicator symbol letter v, regional indicator symbol letter u
:vatican_city:|emoji.|regional indicator symbol letter v, regional indicator symbol letter a
:venezuela:|emoji.|regional indicator symbol letter v, regional indicator symbol letter e
:vertical_traffic_light:|emoji.|vertical traffic light
:vhs:|emoji.|videocassette
:vibration_mode:|emoji.|vibration mode
:video_camera:|emoji.|video camera
:video_game:|emoji.|video game
:vietnam:|emoji.|regional indicator symbol letter v, regional indicator symbol letter n
:violin:|emoji.|violin
:virgo:|emoji.|virgo, variation selector-16
:volcano:|emoji.|volcano
:volleyball:|emoji.|volleyball
:vs:|emoji.|squared vs
:vulcan_salute:|emoji.|raised hand with part between middle and ring fingers
:walking_man:|emoji.|pedestrian
:walking_woman:|emoji.|pedestrian, zero width joiner, female sign, variation selector-16
:wallis_futuna:|emoji.|regional indicator symbol letter w, regional indicator symbol letter f
:waning_crescent_moon:|emoji.|waning crescent moon symbol
:waning_gibbous_moon:|emoji.|waning gibbous moon symbol
:warning:|emoji.|warning sign, variation selector-16
:wastebasket:|emoji.|wastebasket
:watch:|emoji.|watch, variation selector-16
:water_buffalo:|emoji.|water buffalo
:watermelon:|emoji.|watermelon
:wave:|emoji.|waving hand sign
:wavy_dash:|emoji.|wavy dash, variation selector-16
:waxing_crescent_moon:|emoji.|waxing crescent moon symbol
:wc:|emoji.|water closet
:weary:|emoji.|weary face
:wedding:|emoji.|wedding
:weight_lifting_man:|emoji.|weight lifter, variation selector-16
:weight_lifting_woman:|emoji.|weight lifter, variation selector-16, zero width joiner, female sign, variation selector-16
:western_sahara:|emoji.|regional indicator symbol letter e, regional indicator symbol letter h
:whale2:|emoji.|whale
:whale:|emoji.|spouting whale
:wheel_of_dharma:|emoji.|wheel of dharma, variation selector-16
:wheelchair:|emoji.|wheelchair symbol, variation selector-16
:white_check_mark:|emoji.|white heavy check mark
:white_circle:|emoji.|medium white circle, variation selector-16
:white_flag:|emoji.|waving white flag, variation selector-16
:white_flower:|emoji.|white flower
:white_large_square:|emoji.|white large square, variation selector-16
:white_medium_small_square:|emoji.|white medium small square, variation selector-16
:white_medium_square:|emoji.|white medium square, variation selector-16
:white_small_square:|emoji.|white small square, variation selector-16
:white_square_button:|emoji.|white square button
:wilted_flower:|emoji.|wilted flower
:wind_chime:|emoji.|wind chime
:wind_face:|emoji.|wind blowing face
:wine_glass:|emoji.|wine glass
:wink:|emoji.|winking face
:wolf:|emoji.|wolf face
:woman:|emoji.|woman
:woman_artist:|emoji.|woman, zero width joiner, artist palette
:woman_astronaut:|emoji.|woman, zero width joiner, rocket
:woman_cartwheeling:|emoji.|person doing cartwheel, zero width joiner, female sign, variation selector-16
:woman_cook:|emoji.|woman, zero width joiner, cooking
:woman_facepalming:|emoji.|face palm, zero width joiner, female sign, variation selector-16
:woman_factory_worker:|emoji.|woman, zero width joiner, factory
:woman_farmer:|emoji.|woman, zero width joiner, ear of rice
:woman_firefighter:|emoji.|woman, zero width joiner, fire engine
:woman_health_worker:|emoji.|woman, zero width joiner, staff of aesculapius, variation selector-16
:woman_judge:|emoji.|woman, zero width joiner, scales, variation selector-16
:woman_juggling:|emoji.|juggling, zero width joiner, female sign, variation selector-16
:woman_mechanic:|emoji.|woman, zero width joiner, wrench
:woman_office_worker:|emoji.|woman, zero width joiner, briefcase
:woman_pilot:|emoji.|woman, zero width joiner, airplane, variation selector-16
:woman_playing_handball:|emoji.|handball, zero width joiner, female sign, variation selector-16
:woman_playing_water_polo:|emoji.|water polo, zero width joiner, female sign, variation selector-16
:woman_scientist:|emoji.|woman, zero width joiner, microscope
:woman_shrugging:|emoji.|shrug, zero width joiner, female sign, variation selector-16
:woman_singer:|emoji.|woman, zero width joiner, microphone
:woman_student:|emoji.|woman, zero width joiner, graduation cap
:woman_teacher:|emoji.|woman, zero width joiner, school
:woman_technologist:|emoji.|woman, zero width joiner, personal computer
:woman_with_turban:|emoji.|man with turban, zero width joiner, female sign, variation selector-16
:womans_clothes:|emoji.|womans clothes
:womans_hat:|emoji.|womans hat
:women_wrestling:|emoji.|wrestlers, zero width joiner, female sign, variation selector-16
:womens:|emoji.|womens symbol
:world_map:|emoji.|world map
:worried:|emoji.|worried face
:wrench:|emoji.|wrench
:writing_hand:|emoji.|writing hand, variation selector-16
:x:|emoji.|cross mark
:yellow_heart:|emoji.|yellow heart
:yemen:|emoji.|regional indicator symbol letter y, regional indicator symbol letter e
:yen:|emoji.|banknote with yen sign
:yin_yang:|emoji.|yin yang, variation selector-16
:yum:|emoji.|face savouring delicious food
:zambia:|emoji.|regional indicator symbol letter z, regional indicator symbol letter m
:zap:|emoji.|high voltage sign, variation selector-16
:zero:|emoji.|0, variation selector-16, combining enclosing keycap
:zimbabwe:|emoji.|regional indicator symbol letter z, regional indicator symbol letter w
:zipper_mouth_face:|emoji.|zipper-mouth face
:zzz:|emoji.|sleeping symbol
:{|emoji.|what?
:}|emoji.|what should we call these? (what?)
;-)|emoji.|winky smiley. user just made a flirtatious and/or sarcastic remark.more of a "don't hit me for what i just said" smiley
<:-i|emoji.|user is a dunce
<|-(|emoji.|user is chinese and doesn't like these kind of jokes
<|-)|emoji.|user is chinese
=)|emoji.|variation on a theme
=))|emoji.|full of laughing
=:-)|emoji.|user is a hosehead
=w=|emoji.|whatever
>:->|emoji.|user just made a really devilish remark
>;->|emoji.|winky and devil combined. a very lewd remark was just made
>u|emoji.|screw you!
?|emoji.|huh?
?4u|emoji.|question for you
@:-)|emoji.|user is wearing a turban
@=|emoji.|user is pro-nuclear war
