%-)|emoji.|user has been staring at a green screen for 15 hours straight
:capital_abcd:|emoji.|input symbol for latin capital letters
:capricorn:|emoji.|capricorn, variation selector-16
:car:|emoji.|automobile
:card_file_box:|emoji.|card file box
:card_index:|emoji.|card index
:card_index_dividers:|emoji.|card index dividers
:caribbean_netherlands:|emoji.|regional indicator symbol letter b, regional indicator symbol letter q
:carousel_horse:|emoji.|carousel horse
:carrot:|emoji.|carrot
:cat2:|emoji.|cat
:cat:|emoji.|cat face
:cayman_islands:|emoji.|regional indicator symbol letter k, regional indicator symbol letter y
:cd:|emoji.|optical disc
:central_african_republic:|emoji.|regional indicator symbol letter c, regional indicator symbol letter f
:chad:|emoji.|regional indicator symbol letter t, regional indicator symbol letter d
:chains:|emoji.|chains
:champagne:|emoji.|bottle with popping cork
:chart:|emoji.|chart with upwards trend and yen sign
:chart_with_downwards_trend:|emoji.|chart with downwards trend
:chart_with_upwards_trend:|emoji.|chart with upwards trend
:checkered_flag:|emoji.|chequered flag
:cheese:|emoji.|cheese wedge
:cherries:|emoji.|cherries
:cherry_blossom:|emoji.|cherry blossom
:chestnut:|emoji.|chestnut
:chicken:|emoji.|chicken
:children_crossing:|emoji.|children crossing
:chile:|emoji.|regional indicator symbol letter c, regional indicator symbol letter l
:chipmunk:|emoji.|chipmunk
:chocolate_bar:|emoji.|chocolate bar
:christmas_island:|emoji.|regional indicator symbol letter c, regional indicator symbol letter x
:christmas_tree:|emoji.|christmas tree
:church:|emoji.|church, variation selector-16
:cinema:|emoji.|cinema
:circus_tent:|emoji.|circus tent
:city_sunrise:|emoji.|sunset over buildings
:city_sunset:|emoji.|cityscape at dusk
:cityscape:|emoji.|cityscape
:cl:|emoji.|squared cl
:clamp:|emoji.|compression
:clap:|emoji.|clapping hands sign
:clapper:|emoji.|clapper board
:classical_building:|emoji.|classical building
:clinking_glasses:|emoji.|clinking glasses
:clipboard:|emoji.|clipboard
:clock1030:|emoji.|clock face ten-thirty
:clock10:|emoji.|clock face ten oclock
:clock1130:|emoji.|clock face eleven-thirty
:clock11:|emoji.|clock face eleven oclock
:clock1230:|emoji.|clock face twelve-thirty
:clock12:|emoji.|clock face twelve oclock
:clock130:|emoji.|clock face one-thirty
:clock1:|emoji.|clock face one oclock
:clock230:|emoji.|clock face two-thirty
:clock2:|emoji.|clock face two oclock
:clock330:|emoji.|clock face three-thirty
:clock3:|emoji.|clock face three oclock
:clock430:|emoji.|clock face four-thirty
:clock4:|emoji.|clock face four oclock
:clock530:|emoji.|clock face five-thirty
:clock5:|emoji.|clock face five oclock
:clock630:|emoji.|clock face six-thirty
:clock6:|emoji.|clock face six oclock
:clock730:|emoji.|clock face seven-thirty
:clock7:|emoji.|clock face seven oclock
:clock830:|emoji.|clock face eight-thirty
:clock8:|emoji.|clock face eight oclock
:clock930:|emoji.|clock face nine-thirty
:clock9:|emoji.|clock face nine oclock
:closed_book:|emoji.|closed book
:closed_lock_with_key:|emoji.|closed lock with key
:closed_umbrella:|emoji.|closed umbrella
:cloud:|emoji.|cloud, variation selector-16
:cloud_with_lightning:|emoji.|cloud with lightning
:cloud_with_lightning_and_rain:|emoji.|thunder cloud and rain
:cloud_with_rain:|emoji.|cloud with rain
:cloud_with_snow:|emoji.|cloud with snow
:clown_face:|emoji.|clown face
:clubs:|emoji.|black club suit, variation selector-16
:cn:|emoji.|regional indicator symbol letter c, regional indicator symbol letter n
:cocktail:|emoji.|cocktail glass
:cocos_islands:|emoji.|regional indicator symbol letter c, regional indicator symbol letter c
:coffee:|emoji.|hot beverage, variation selector-16
:coffin:|emoji.|coffin, variation selector-16
:cold_sweat:|emoji.|face with open mouth and cold sweat
:colombia:|emoji.|regional indicator symbol letter c, regional indicator symbol letter o
:comet:|emoji.|comet, variation selector-16
:comoros:|emoji.|regional indicator symbol letter k, regional indicator symbol letter m
:computer:|emoji.|personal computer
:computer_mouse:|emoji.|three button mouse
:confetti_ball:|emoji.|confetti ball
:confounded:|emoji.|confounded face
:confused:|emoji.|confused face
:congo_brazzaville:|emoji.|regional indicator symbol letter c, regional indicator symbol letter g
:congo_kinshasa:|emoji.|regional indicator symbol letter c, regional indicator symbol letter d
:congratulations:|emoji.|circled ideograph congratulation, variation selector-16
:construction:|emoji.|construction sign
:construction_worker_man:|emoji.|construction worker
:construction_worker_woman:|emoji.|construction worker, zero width joiner, female sign, variation selector-16
:control_knobs:|emoji.|control knobs
:convenience_store:|emoji.|convenience store
:cook_islands:|emoji.|regional indicator symbol letter c, regional indicator symbol letter k
:cookie:|emoji.|cookie
:cool:|emoji.|squared cool
:copyright:|emoji.|copyright sign, variation selector-16
:corn:|emoji.|ear of maize
:costa_rica:|emoji.|regional indicator symbol letter c, regional indicator symbol letter r
:cote_divoire:|emoji.|regional indicator symbol letter c, regional indicator symbol letter i
:couch_and_lamp:|emoji.|couch and lamp
:couple:|emoji.|man and woman holding hands
:couple_with_heart_man_man:|emoji.|man, zero width joiner, heavy black heart, variation selector-16, zero width joiner, man
:couple_with_heart_woman_man:|emoji.|couple with heart
:couple_with_heart_woman_woman:|emoji.|woman, zero width joiner, heavy black heart, variation selector-16, zero width joiner, woman
:couplekiss_man_man:|emoji.|man, zero width joiner, heavy black heart, variation selector-16, zero width joiner, kiss mark, zero width joiner, man
:couplekiss_man_woman:|emoji.|kiss
:couplekiss_woman_woman:|emoji.|woman, zero width joiner, heavy black heart, variation selector-16, zero width joiner, kiss mark, zero width joiner, woman
:cow2:|emoji.|cow
:cow:|emoji.|cow face
:cowboy_hat_face:|emoji.|face with cowboy hat
:crab:|emoji.|crab
:crayon:|emoji.|lower left crayon
:credit_card:|emoji.|credit card
:crescent_moon:|emoji.|crescent moon
:cricket:|emoji.|cricket bat and ball
:croatia:|emoji.|regional indicator symbol letter h, regional indicator symbol letter r
:crocodile:|emoji.|crocodile
:croissant:|emoji.|croissant
:crossed_fingers:|emoji.|hand with index and middle fingers crossed
:crossed_flags:|emoji.|crossed flags
:crossed_swords:|emoji.|crossed swords, variation selector-16
:crown:|emoji.|crown
:cry:|emoji.|crying face
:crying_cat_face:|emoji.|crying cat face
:crystal_ball:|emoji.|crystal ball
:cuba:|emoji.|regional indicator symbol letter c, regional indicator symbol letter u
:cucumber:|emoji.|cucumber
:cupid:|emoji.|heart with arrow
:curacao:|emoji.|regional indicator symbol letter c, regional indicator symbol letter w
:curly_loop:|emoji.|curly loop
:currency_exchange:|emoji.|currency exchange
:curry:|emoji.|curry and rice
:custard:|emoji.|custard
:customs:|emoji.|customs
:cyclone:|emoji.|cyclone
:cyprus:|emoji.|regional indicator symbol letter c, regional indicator symbol letter y
:czech_republic:|emoji.|regional indicator symbol letter c, regional indicator symbol letter z
:d|emoji.|laughter
:dagger:|emoji.|dagger knife
:dancer:|emoji.|dancer
:dancing_men:|emoji.|woman with bunny ears, zero width joiner, male sign, variation selector-16
:dancing_women:|emoji.|woman with bunny ears
:dango:|emoji.|dango
:dark_sunglasses:|emoji.|dark sunglasses
:dart:|emoji.|direct hit
:dash:|emoji.|dash symbol
:date:|emoji.|calendar
:de:|emoji.|regional indicator symbol letter d, regional indicator symbol letter e
:deciduous_tree:|emoji.|deciduous tree
:deer:|emoji.|deer
:denmark:|emoji.|regional indicator symbol letter d, regional indicator symbol letter k
:department_store:|emoji.|department store
:derelict_house:|emoji.|derelict house building
:desert:|emoji.|desert
:desert_island:|emoji.|desert island
:desktop_computer:|emoji.|desktop computer
:diamond_shape_with_a_dot_inside:|emoji.|diamond shape with a dot inside
:diamonds:|emoji.|black diamond suit, variation selector-16
:disappointed:|emoji.|disappointed face
:disappointed_relieved:|emoji.|disappointed but relieved face
:dizzy:|emoji.|dizzy symbol
:dizzy_face:|emoji.|dizzy face
:djibouti:|emoji.|regional indicator symbol letter d, regional indicator symbol letter j
:do_not_litter:|emoji.|do not litter symbol
:dog2:|emoji.|dog
:dog:|emoji.|dog face
:dollar:|emoji.|banknote with dollar sign
:dolls:|emoji.|japanese dolls
:dolphin:|emoji.|dolphin
:dominica:|emoji.|regional indicator symbol letter d, regional indicator symbol letter m
:dominican_republic:|emoji.|regional indicator symbol letter d, regional indicator symbol letter o
:door:|emoji.|door
:doughnut:|emoji.|doughnut
:dove:|emoji.|dove of peace
:dragon:|emoji.|dragon
:dragon_face:|emoji.|dragon face
:dress:|emoji.|dress
:dromedary_camel:|emoji.|dromedary camel
:drooling_face:|emoji.|drooling face
:droplet:|emoji.|droplet
:drum:|emoji.|drum with drumsticks
:duck:|emoji.|duck
:dvd:|emoji.|dvd
:e-mail:|emoji.|e-mail symbol
:eagle:|emoji.|eagle
:ear:|emoji.|ear
:ear_of_rice:|emoji.|ear of rice
:earth_africa:|emoji.|earth globe europe-africa
:earth_americas:|emoji.|earth globe americas
:earth_asia:|emoji.|earth globe asia-australia
:ecuador:|emoji.|regional indicator symbol letter e, regional indicator symbol letter c
:egg:|emoji.|egg
:eggplant:|emoji.|aubergine
:egypt:|emoji.|regional indicator symbol letter e, regional indicator symbol letter g
:eight:|emoji.|8, variation selector-16, combining enclosing keycap
:eight_pointed_black_star:|emoji.|eight pointed black star, variation selector-16
:eight_spoked_asterisk:|emoji.|eight spoked asterisk, variation selector-16
